longitude,latitude
-2.536601140327318,51.49049679592616
-2.536849106263999,51.490381467739596
-2.5363102579880814,51.49025688329539
-2.5794204294432093,51.4576648678743
-2.579252140643361,51.45762802479781
-2.5793056281180813,51.45758963591484
-2.579353953353489,51.45771186306503
-2.5791518363631973,51.457697396388824
-2.579281480261945,51.45776266434343
-2.5978857369724513,51.43456688415641
-2.5981539139413425,51.434469844147024
-2.598334478949378,51.434658826460264
-2.5980685640757097,51.434752888080936
-2.5569326793395866,51.455406030821685
-2.556691518142636,51.45548135750859
-2.556818998476794,51.45525380323691
-2.5565776600645225,51.455326343130196
-2.5616911006682606,51.46225499048368
-2.56161220168481,51.46203084785671
-2.5618301718638654,51.462162969076225
-2.561470084625833,51.46212099535901
-2.550648989481927,51.46056858979687
-2.550727485085531,51.460632421123925
-2.550887628440342,51.460531771644064
-2.5508150783298973,51.46047159904435
-2.550551176004873,51.460490282742995
-2.550730615701485,51.460402310926796
-2.5744432887846918,51.45214836351878
-2.5746959152260627,51.45207294397269
-2.574561534033585,51.45192658957042
-2.5743204198676155,51.452013371795395
-2.584964710224403,51.443231543665135
-2.5848768784403813,51.44306905325605
-2.5365582064712804,51.490140117147284
-2.681458453842421,51.49054650428338
-2.68153740484187,51.49061546066582
-2.6814034315257147,51.49048846846914
-2.681325409221315,51.49040449059206
-2.681909392472263,51.49067947597652
-2.6102132601068417,51.48122625011875
-2.610365226347237,51.48103528648825
-2.609898189201637,51.48095724239953
-2.6101512344125326,51.48087329273193
-2.6434483792894268,51.48843227203911
-2.6434223884062145,51.48823325055505
-2.643501419074795,51.488087242637384
-2.6437553505948603,51.48786330621253
-2.6438342963122743,51.487752275886294
-2.617144750534371,51.51040839618934
-2.607568978807468,51.511599344097455
-2.6505158873195005,51.505301430623476
-2.6821132940137695,51.49077252202362
-2.6821533952849768,51.49077651476625
-2.6821743222166994,51.49082755532419
-2.682041418326998,51.49087850180498
-2.681950409086359,51.49091850442561
-2.681921353172024,51.49091148013466
-2.681848386075388,51.490828552199005
-2.6817703511649826,51.490753476397465
-2.6462868877909287,51.50432738033362
-2.6467079091574615,51.50415637677015
-2.6782224444775644,51.4904884805177
-2.6780024050334013,51.490491461627684
